"State: (0, 0)","State: (0, 1)","State: (0, 2)","State: (0, 3)","State: (0, 4)","State: (0, 5)","Wall: (1, 0)","State: (1, 1)","State: (1, 2)","State: (1, 3)","Wall: (1, 4)","State: (1, 5)","State: (2, 0)","State: (2, 1)","State: (2, 2)","State: (2, 3)","Wall: (2, 4)","State: (2, 5)","State: (3, 0)","State: (3, 1)","State: (3, 2)","State: (3, 3)","Wall: (3, 4)","State: (3, 5)","State: (4, 0)","Wall: (4, 1)","State: (4, 2)","State: (4, 3)","State: (4, 4)","State: (4, 5)","State: (5, 0)","State: (5, 1)","State: (5, 2)","State: (5, 3)","State: (5, 4)","State: (5, 5)"
10.46617583,9.880706695,9.442502597,9.030902642,8.65480625,8.242195018,0,8.377019796,9.052692674,8.793597118,0,7.880438825,10.15805366,9.816072948,8.613670915,8.5377504,0,7.52528291,9.878504379,10.77713618,10.379979,9.058545495,0,8.504623702,9.492545802,0,11.27226684,10.86506456,9.493142977,9.689774728,10.5288258,8.933126787,10.85264811,11.75157191,11.23767377,10.80851868
11.36151433,10.76583454,10.31756554,9.896137628,9.511392874,9.089164132,0,9.252082739,9.918034458,9.650192766,0,8.718945096,11.02879799,10.67770094,9.466242736,9.385348224,0,8.355410739,10.73971669,11.62988475,11.22398145,9.89418444,0,9.318217308,10.34537994,0,12.11322194,11.69660194,10.31605987,10.50092468,11.40537666,9.801817682,11.68745763,12.57783594,12.05546599,11.61756424
12.24789946,11.64211047,11.18387617,10.7527169,10.35940783,9.927654061,0,10.11839337,10.77472022,10.49821843,0,9.549053381,11.88989123,11.52987367,10.30953169,10.22438236,0,9.177221831,11.59138468,12.47319303,12.05862179,10.72060619,0,10.12173962,11.18876217,0,12.94453393,12.51861695,11.12952598,11.30252578,12.26987833,10.65850383,12.51246882,13.39442444,12.86369868,12.41713857
13.12542076,12.50962343,12.0415231,11.60072918,11.19894054,10.75775521,0,10.9760403,11.6228382,11.3377624,0,10.37085495,12.74144045,12.37269524,11.14363947,11.05494225,0,9.99080729,12.43361434,13.3071658,12.8840048,11.53791447,0,10.91570513,12.02279776,0,13.76632207,13.33122896,11.9336629,12.09475673,13.12271887,11.50357741,13.32782959,14.20148105,13.66251212,13.20738756
13.99416687,13.3684612,12.89059336,12.44026091,12.03007717,11.57955381,0,11.82511056,12.46247467,12.16891041,0,11.18443617,13.58355157,13.20626853,11.96866646,11.8771146,0,10.79625356,13.26651041,14.13190656,13.7002342,12.34621183,0,11.70035723,12.84759052,0,14.57870573,14.13455688,12.72859071,12.87776266,13.96425429,12.33739806,14.13368432,14.99939678,14.45224179,13.98860571
14.85422555,14.21871059,13.73117286,13.27139719,12.85290217,12.39313384,0,12.66569006,13.29371468,12.99174678,0,11.98988066,14.41632931,14.03069523,12.7847119,12.69098459,0,11.59364397,14.09017644,14.94751766,14.50741269,13.1455998,0,12.47585907,13.663243,0,15.38180389,14.92874371,13.5144678,13.65180688,14.79481197,13.16029624,14.93019866,15.78838422,15.23310493,14.76102031
15.70568365,15.06045749,14.56334656,14.09422207,13.66749885,13.19857785,0,13.49786375,14.11664226,13.80635474,0,12.78727034,15.23987723,14.84607589,13.59187391,13.49663628,0,12.38305992,14.90471485,15.75410029,15.30564191,13.93618138,0,13.24245147,14.46985663,0,16.17573727,15.7139163,14.29143179,14.41710907,15.61469363,13.97257638,15.71751941,16.56851249,16.00519142,15.5247468
16.5486272,15.89378693,15.38719852,14.9088187,14.47394954,13.99596735,0,14.32171572,14.93134058,14.61281661,0,13.57668601,16.05429775,15.65250999,14.39024956,14.2941528,0,13.16458151,15.71022691,16.55175451,16.09502266,14.71805718,0,14.00035612,15.2675317,0,16.96062598,16.49018658,15.05959386,15.17379343,16.42417804,14.77451952,16.49577635,17.3398581,16.76858177,16.27987265
17.38314133,16.71878311,16.20281199,15.71526938,15.27233573,14.78538295,0,15.13732919,15.73789192,15.41121387,0,14.35820748,16.85969215,16.45009588,15.17993487,15.08361644,0,13.93828781,16.50681275,17.34057929,16.87565474,15.49132545,0,14.74971527,16.05636737,0,17.73658786,17.25766518,15.81906063,15.92195208,17.2235234,15.56638581,17.26509616,18.10250215,17.52335874,17.02648119
18.20931034,17.53552933,17.01026934,16.51365557,16.06273808,15.5669044,0,15.94478654,16.53637776,16.20162718,0,15.13191373,17.65616058,17.23893082,15.96102484,15.8651086,0,14.70425703,17.29457142,18.12067248,17.6476367,16.25608329,0,15.49063005,16.83646172,0,18.50373857,18.01646135,16.56993734,16.66167056,18.01296948,16.34841664,18.02560235,18.85652929,18.26960796,17.76465697
